data_id,profile_id,obsdate,preswat,tempwat,condwat,pracsal,density,optparw,flubsct,cdomflo,chlaflo,doconcs
43662,1934,2011-08-10T13:30:48Z,3,24.0778,4.4734,29.4986,1019.4749,,,,,
43663,1934,2011-08-10T13:30:54Z,4,24.0975,4.4956,29.6487,1019.5849,,,,,
43664,1934,2011-08-10T13:31:01Z,5,24.1356,4.5469,30.0011,1019.8449,,,,,
43665,1934,2011-08-10T13:31:08Z,6,24.1406,4.5601,30.0951,1019.9185,,,,,
43666,1934,2011-08-10T13:31:13Z,7,24.1385,4.5611,30.1032,1019.929,,,,,
43667,1934,2011-08-10T13:31:20Z,8,24.1139,4.5597,30.1093,1019.9452,,,,,
43668,1934,2011-08-10T13:31:28Z,9,24.0111,4.5519,30.1205,1019.9876,,,,,
43669,1934,2011-08-10T13:31:35Z,10,23.67,4.525,30.1511,1020.1144,,,,,
43670,1934,2011-08-10T13:31:43Z,11,23.2796,4.4947,30.1902,1020.2606,,,,,
43671,1934,2011-08-10T13:31:48Z,12,23.0242,4.4762,30.2254,1020.3619,,,,,
43672,1934,2011-08-10T13:31:56Z,13,21.8788,4.4024,30.4582,1020.8596,,,,,
43673,1934,2011-08-10T13:32:06Z,14,20.3298,4.3142,30.8729,1021.5936,,,,,
43674,1934,2011-08-10T13:32:16Z,15,18.3811,4.2092,31.4713,1022.5452,,,,,
43675,1934,2011-08-10T13:32:25Z,16,17.2007,4.1061,31.5114,1022.8627,,,,,
43676,1934,2011-08-10T13:32:35Z,17,15.9401,4.0034,31.6135,1023.2328,,,,,
43677,1934,2011-08-10T13:32:45Z,18,14.8636,3.9249,31.7813,1023.6008,,,,,
43678,1934,2011-08-10T13:32:55Z,19,14.5311,3.8933,31.7668,1023.6639,,,,,
43694,1935,2011-08-10T13:32:58Z,19,14.5049,3.8912,31.7693,1023.6717,,,,,
43693,1935,2011-08-10T13:33:10Z,18,14.6713,3.8809,31.5402,1023.4565,,,,,
43692,1935,2011-08-10T13:33:27Z,17,15.3203,3.9031,31.2194,1023.0663,,,,,
43691,1935,2011-08-10T13:33:47Z,16,16.4416,3.9674,30.9063,1022.5727,,,,,
43690,1935,2011-08-10T13:34:04Z,15,17.7284,4.0487,30.6208,1022.052,,,,,
43689,1935,2011-08-10T13:34:19Z,14,19.9342,4.1995,30.2398,1021.2123,,,,,
43688,1935,2011-08-10T13:34:31Z,13,21.4614,4.3146,30.0704,1020.6779,,,,,
43687,1935,2011-08-10T13:34:43Z,12,22.8447,4.4139,29.8778,1020.1497,,,,,
43686,1935,2011-08-10T13:34:58Z,11,23.3417,4.4605,29.892,1020.0157,,,,,
